Repository;Commits chunk start;Commits chunk end;# of microservices detected;# of microservices;False negatives;False positives
vietnam-devs.coolstore-microservices;650;650;7;5;;2
vietnam-devs.coolstore-microservices;651;651;7;5;;2
vietnam-devs.coolstore-microservices;652;654;7;5;;2
vietnam-devs.coolstore-microservices;655;656;7;5;;2
vietnam-devs.coolstore-microservices;657;658;7;5;;2
vietnam-devs.coolstore-microservices;659;659;7;5;;2
vietnam-devs.coolstore-microservices;660;661;7;5;;2
vietnam-devs.coolstore-microservices;662;668;7;5;;2
vietnam-devs.coolstore-microservices;669;673;7;5;;2
vietnam-devs.coolstore-microservices;674;674;7;5;;2
vietnam-devs.coolstore-microservices;675;680;1;4;4;1
