COMMIT,HASH,MICROSERVICES
25,e34ea9819df06d986d5f1c831fcd84e9cb9f1e97,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
26,fddfb269871ea562b9246c29513acd970097b79a,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
27,35a777c348f5021d925f165995e64b00dedef68e,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
28,9452824e9d372d14f9b965e63296f5953c4804ef,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
29,fcfc3d7cab2fae11ccd0acafaea87114daef0464,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
30,076f44c70bf449e407bbdd6e4befc6aa593e55db,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'zipkin', 'ftgo-restaurant-order-service'}"
31,681f368ad1a092ed28301a1d22830bc70a817d68,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
32,1db76a412225234869873fa283f876941bef33b0,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
33,298d28b5b0e7b23ea2559b9e90377cd45d117d9c,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
34,16e5f65893014a01f328911edbe546162019973a,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
35,20054f472bc49756e5e7d6d89e1dcfe51733f5c9,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
36,1a5b84c685790f81ec7d27da9f1b71eb9e56f3c5,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
37,d74dbfd03b296b0f5c2244602658e0da8af87b74,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
38,106dbc3e16b94c0722f535a717da964526d30810,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
39,abce04a7f53ca996b861d16a66cc1c63cdaa4ae1,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
40,d2a76dbb009cb35b3374fe9d988299c5dfa0dd99,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
41,61f01839609b4603ee633b1b3e3cd07123056825,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
42,31e389e5c3680284d2d2c358da8671ffc68d7073,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
43,93a9228b280358b70096eb89edb395039ce1b282,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
44,766a135de5b8edd3226bd5718cb6567c52e9c01b,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'ftgo-restaurant-order-service'}"
45,1336a78956a720fc3f10105a10ff619c537f4fc2,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'zipkin', 'ftgo-restaurant-order-service'}"
46,6cf5107ab2c8840f44db617c6a7d5f0b77f1cb60,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'zipkin', 'ftgo-restaurant-order-service'}"
47,54ea0a6e8a55ee2ca9bdef78bd9e60f3e2b10438,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'zipkin', 'ftgo-restaurant-order-service'}"
48,bc1bffec601afba173a1380469a8a117536cc55b,"{'ftgo-restaurant-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'zipkin', 'ftgo-restaurant-order-service'}"
49,8a0f905da0b1dd0bd2a06a9e5feb224d0bec34a3,"{'ftgo-restaurant-service', 'ftgo-kitchen-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'zipkin'}"
50,87938c4a07475f7c2f4fba67f35bbf5084c0d8bc,"{'ftgo-restaurant-service', 'ftgo-kitchen-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'zipkin'}"
51,15496b50b53128f7b425cb452844a2b0dd839be4,"{'ftgo-restaurant-service', 'ftgo-kitchen-service', 'eventuate-local-cdc-service', 'ftgo-consumer-service', 'ftgo-order-history-service', 'dynamodblocal', 'ftgo-order-service', 'ftgo-accounting-service', 'zipkin'}"
