CHUNKS_N,CHUNKS_H,uSs,CONTAINERS,DFs
"[(1, 83)]","[('af1c39d944e16abee687827944e917701176c29f', '9b6b37d672585d925a8ffd7769f4ec960dd891e4')]",set(),set(),[]
"[(84, 111)]","[('0b6205b8f651d0ed2670a6f84715b9e2253ab327', 'b943a4d9b061a1ddf3e934cd171ee44bea3ee317')]","{Microservice(name='eureka', build=Build(context='microservice-demo/microservice-demo-eureka-server', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='turbine', build=Build(context='microservice-demo/microservice-demo-turbine-server', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='customer', build=Build(context='microservice-demo/microservice-demo-customer', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='zuul', build=Build(context='microservice-demo/microservice-demo-zuul-server', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='catalog', build=Build(context='microservice-demo/microservice-demo-catalog', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='order', build=Build(context='microservice-demo/microservice-demo-order', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>)}",set(),"['docker-vagrant/catalog-app/Dockerfile', 'docker-vagrant/customer-app/Dockerfile', 'docker-vagrant/eureka/Dockerfile', 'docker-vagrant/java/Dockerfile', 'docker-vagrant/order-app/Dockerfile', 'docker-vagrant/turbine/Dockerfile', 'docker-vagrant/zuul/Dockerfile', 'docker/java/Dockerfile']"
"[(112, 140)]","[('e2e01d44a9eda2cd53d53bd5c62d4a13bda17318', 'd1ccf504df5617288479902ad9eb2111df73ed65')]","{Microservice(name='eureka', build=Build(context='microservice-demo/microservice-demo-eureka-server', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='turbine', build=Build(context='microservice-demo/microservice-demo-turbine-server', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='customer', build=Build(context='microservice-demo/microservice-demo-customer', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='zuul', build=Build(context='microservice-demo/microservice-demo-zuul-server', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='catalog', build=Build(context='microservice-demo/microservice-demo-catalog', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>), Microservice(name='order', build=Build(context='microservice-demo/microservice-demo-order', rel_dockerfile='Dockerfile', remote=False, absolute=False), confidence=<Confidence.BUILD_UNVERIFIED: 2>)}",set(),"['docker-vagrant/catalog-app/Dockerfile', 'docker-vagrant/customer-app/Dockerfile', 'docker-vagrant/eureka/Dockerfile', 'docker-vagrant/java/Dockerfile', 'docker-vagrant/order-app/Dockerfile', 'docker-vagrant/turbine/Dockerfile', 'docker-vagrant/zuul/Dockerfile']"
